id_dossier;libelle_etiquette
4481594;"Produit bancaire"
4481595;"Coord employeur"
4481595;"Produit bancaire"
4481596;"Produit bancaire"
4481597;"Produit bancaire"
4481598;"Coord employeur"
4481598;"Produit bancaire"
4481599;"Coord employeur"
4481599;"Produit bancaire"
4481600;"Produit bancaire"
4481601;"Produit bancaire"
4481602;"Produit bancaire"
4481603;"Coord employeur"
4481603;"Produit bancaire"
4481604;"Produit bancaire"
4481605;"Produit bancaire"
4481606;"Coord employeur"
4481606;"Produit bancaire"
4481607;"Coord employeur"
4481607;"Produit bancaire"
4481608;"Coord employeur"
4481608;"Produit bancaire"
4481609;"Coord employeur"
4481609;"Produit bancaire"
4481610;"Produit bancaire"
4481611;"Coord employeur"
4481611;"Produit bancaire"
4481612;"Produit bancaire"
4481613;"Coord employeur"
4481613;"Produit bancaire"
4481614;"Produit bancaire"
4481615;"Coord employeur"
4481615;"Produit bancaire"
4481616;"Produit bancaire"
4481617;"Produit bancaire"
4481618;"Coord employeur"
4481618;"Produit bancaire"
4481619;"Coord employeur"
4481619;"Produit bancaire"
4481620;"Produit bancaire"
4481621;"Produit bancaire"
4481622;"Produit bancaire"
4481623;"Produit bancaire"
4481624;"Coord employeur"
4481624;"Produit bancaire"
4481625;"Produit bancaire"
4481626;"Produit bancaire"
4481627;"Produit bancaire"
4481628;"Produit bancaire"
4481629;"Produit bancaire"
4481630;"Produit bancaire"
4481631;"Coord employeur"
4481631;"Produit bancaire"
4481632;"Produit bancaire"
4481633;"Coord employeur"
4481633;"Produit bancaire"
4481634;"Coord employeur"
4481634;"Produit bancaire"
4481635;"Coord employeur"
4481635;"Produit bancaire"
4481636;"Coord employeur"
4481636;"Produit bancaire"
4481637;"Coord employeur"
4481637;"Produit bancaire"
4481638;"Coord employeur"
4481638;"Produit bancaire"
4481639;"Produit bancaire"
4481640;"Produit bancaire"
4481641;"Coord employeur"
4481641;"Produit bancaire"
4481642;"Coord employeur"
4481642;"Produit bancaire"
4481643;"Coord employeur"
4481643;"Produit bancaire"
4481644;"Coord employeur"
4481644;"Produit bancaire"
4481645;"Produit bancaire"
4481646;"Produit bancaire"
4481647;"Coord employeur"
4481647;"Produit bancaire"
4481648;"Produit bancaire"
4481649;"Produit bancaire"
4481650;"Coord employeur"
4481650;"Produit bancaire"
4481651;"Coord employeur"
4481651;"Produit bancaire"
4481652;"Coord employeur"
4481652;"Produit bancaire"
4481653;"Produit bancaire"
4481654;"Coord employeur"
4481654;"Produit bancaire"
4481655;"Coord employeur"
4481655;"Produit bancaire"
4481656;"Coord employeur"
4481656;"Produit bancaire"
4481657;"Produit bancaire"
4481658;"Coord employeur"
4481658;"Produit bancaire"
4481659;"Coord employeur"
4481659;"Produit bancaire"
4481660;"Coord employeur"
4481660;"Produit bancaire"
4481661;"Produit bancaire"
4481662;"Produit bancaire"
4481663;"Produit bancaire"
4481664;"Produit bancaire"
4481665;"Coord employeur"
4481665;"Produit bancaire"
4481666;"Coord employeur"
4481666;"Produit bancaire"
4481667;"Coord employeur"
4481667;"Produit bancaire"
4481668;"Coord employeur"
4481668;"Produit bancaire"
4481669;"Produit bancaire"
4481670;"Coord employeur"
4481670;"Produit bancaire"
4481671;"Produit bancaire"
4481672;"Coord employeur"
4481672;"Produit bancaire"
4481673;"Produit bancaire"
4481674;"Produit bancaire"
4481675;"Coord employeur"
4481675;"Produit bancaire"
4481676;"Coord employeur"
4481676;"Produit bancaire"
4481677;"Coord employeur"
4481677;"Produit bancaire"
4481678;"Produit bancaire"
4481679;"Coord employeur"
