id_dossier;montant_reglement;date_reglement;type_reglement
4753482;19.92;2018-04-27;VIRT
4753487;104.2;2017-12-26;CB
4753494;131.42;2017-12-29;"REGT CLIENT"
4753514;96.01;2018-05-29;VIRT
4753527;10;2018-06-18;CB
4753537;57.53;2018-04-27;VIRT
4753538;86.32;2018-04-27;VIRT
4753547;30;2018-01-30;CHQ
4753549;166;2018-04-27;VIRT
4753565;101.28;2019-07-04;VIRT
4753577;149.37;2018-03-01;CB
4753579;132.8;2018-07-27;VIRT
4753588;92.64;2019-07-04;VIRT
4753616;20;2019-05-13;PRLVT
4753617;62.2;2018-03-09;CB
4753625;21.91;2018-06-27;VIRT
4753626;55.78;2018-04-27;VIRT
4753629;38.16;2018-03-12;CB
4792318;300;2018-01-30;"REGT CLIENT"
4792321;50;2018-01-30;"REGT CLIENT"
4792334;41.17;2019-02-19;VIRT
4792365;29.01;2018-01-30;"REGT CLIENT"
4792377;80;2018-01-30;"REGT CLIENT"
4792410;250;2018-03-30;"REGT CLIENT"
4792433;50;2018-05-30;CB
4792449;150;2018-11-29;CB
4792450;50;2018-10-29;VIRT
4792465;43.49;2018-05-07;CB
4792471;30;2018-07-12;VIRT
4792477;15;2019-05-31;"SOUS TRAITANT"
4792481;30;2018-04-09;CB
4792483;410;2018-11-29;"REGT CLIENT"
4792503;50;2018-09-11;PRLVT
4792504;370;2018-04-29;"REGT CLIENT"
4792522;100;2018-11-26;CB
4792540;10;2018-08-08;CB
4792544;30;2019-06-25;"SOUS TRAITANT"
4792547;279.8;2018-12-10;CHQ
4792554;100;2018-04-04;CHQ
4792557;10;2018-01-30;"REGT CLIENT"
4792561;74.21;2018-03-30;CB
4792569;50;2018-10-02;VIRT
4792581;200;2018-10-11;CB
4792585;105;2019-05-31;VIRT
4792588;230.54;2018-03-30;"REGT CLIENT"
4792590;50;2019-01-02;CB
4792599;50;2018-09-14;CB
4792623;350;2018-01-30;"REGT CLIENT"
4792628;500;2018-03-26;CB
4792629;72;2019-05-31;"SOUS TRAITANT"
4792630;4.66;2018-01-30;"REGT CLIENT"
4792663;100;2018-08-16;CHQ
4792668;538;2018-01-31;"REGT CLIENT"
4792680;25;2018-01-30;"REGT CLIENT"
4792681;25;2018-01-30;"REGT CLIENT"
4792682;50;2019-03-27;PRLVT
4792698;80.44;2018-04-11;VIRT
4792704;151.4;2018-04-13;CB
4792713;20;2019-02-04;CB
4792714;20;2019-02-04;CB
4792725;20;2018-05-15;VIRT
4792730;54.72;2018-09-06;PRLVT
4792732;50;2018-01-30;"REGT CLIENT"
4792735;19.5;2018-07-11;PRLVT
4792736;43;2018-07-11;PRLVT
4792749;60.8;2018-07-30;"REGT CLIENT"
4792756;150;2018-05-04;CB
4792760;200;2018-06-28;VIRT
4792761;25;2018-05-14;CB
4792762;25;2018-05-14;CB
4792781;50;2018-04-06;CB
4792798;70;2019-01-18;CB
4792824;100;2018-04-25;VIRT
4792829;30;2018-05-11;CB
4792835;3;2019-06-25;"SOUS TRAITANT"
4792836;3;2019-06-25;"SOUS TRAITANT"
4792837;3;2019-06-25;"SOUS TRAITANT"
4792839;50;2018-04-18;CB
4792840;50;2018-04-18;CB
4792849;150;2018-12-04;CB
4792852;60;2018-05-29;CB
4792865;280;2018-01-30;"REGT CLIENT"
4792869;15;2019-06-25;"SOUS TRAITANT"
4792895;30;2019-06-25;"SOUS TRAITANT"
4792898;460;2018-01-31;"REGT CLIENT"
4792900;35;2019-05-31;VIRT
4792905;500;2018-04-03;CB
4792910;100;2018-11-05;PRLVT
4792916;35;2018-12-21;VIRT
4792936;30;2018-05-22;CB
4792952;5158.49;2018-10-08;CHQ
4792953;3367.76;2018-10-08;CHQ
4792957;41;2018-01-30;"REGT CLIENT"
4792970;150;2018-11-09;CB
4792988;7401.26;2018-08-30;"REGT CLIENT"
4792999;100;2018-05-07;VIRT
4793018;140;2019-05-31;VIRT
4793023;407.29;2019-05-31;VIRT
4793027;11.73;2018-01-30;"REGT CLIENT"
4793028;39.92;2018-01-30;"REGT CLIENT"
4793033;50;2018-12-07;CB
4793067;1330;2018-01-30;"REGT CLIENT"
4793085;150;2019-03-06;CB
4793091;6.15;2018-07-30;"REGT CLIENT"
4793099;6;2019-06-25;"SOUS TRAITANT"
4793100;6;2019-06-25;"SOUS TRAITANT"
4793114;65;2018-01-30;"REGT CLIENT"
4793120;100;2019-01-08;CB
4793146;100;2018-01-30;"REGT CLIENT"
4793150;1988.91;2018-11-13;VIRT
4793187;50;2018-04-06;CB
4793189;50;2018-03-29;CB
4793190;500;2018-07-04;VIRT
4793196;1000;2018-01-30;"REGT CLIENT"
4793206;50;2018-06-04;VIRT
4793207;50;2018-06-04;VIRT
4793208;281.43;2018-01-30;"REGT CLIENT"
4793209;3809.32;2018-01-30;"REGT CLIENT"
4793221;459;2018-01-30;"REGT CLIENT"
4793222;60;2019-04-05;PRLVT
4793232;20;2018-04-10;CB
4793233;20;2018-04-10;CB
4793236;37.46;2019-05-31;"SOUS TRAITANT"
4793238;90;2019-05-31;"SOUS TRAITANT"
4793250;23;2018-07-30;PRLVT
4793252;328;2018-01-30;"REGT CLIENT"
4793258;30;2018-07-12;VIRT
4793259;30;2018-07-12;VIRT
4793272;80;2018-01-30;"REGT CLIENT"
4793274;150;2018-04-04;VIRT
4793275;150;2018-04-04;VIRT
4793279;50;2018-07-13;CB
4793283;30;2018-04-12;VIRT
4793285;100;2018-01-30;"REGT CLIENT"
4793307;450;2018-01-30;"REGT CLIENT"
4793310;63;2019-06-25;"SOUS TRAITANT"
4793322;20;2018-04-11;CB
4793323;6453.77;2018-01-30;"REGT CLIENT"
4793340;20;2018-04-03;CB
4793342;317.21;2018-01-30;"REGT CLIENT"
4793351;45;2019-06-25;"SOUS TRAITANT"
4793372;525;2019-05-31;VIRT
4793373;500;2018-11-05;CB
